Charter;Name;Owner;Population;Unemployment;GDP;GDP per capita;rrr;Type;Civilization;Race;Capitol;Founded;Independence;Atmosphere stage;Mother colony relations;Xcoord;Ycoord;Sector;Platform;CW size;Mother Colony Charter;Region
LFtvfKcogQ;BD;Silas;376;0;1225344;3259;0;Red Planet;United Earth;Human;1;2023-02-08 00:00:00;;0;123;750;776;0/0;android.gplay;0;vK2kXl6EPI;1
lg3Hnivm;New Atlantis;psychohobbit1;236311;2;303320992707;1283567;1;Red Planet;United Earth;Human;1;2021-10-26 00:00:00;2021-11-16 00:00:00;4;123;-542;-270;0/0;desktop.windows;0;earth;0
lGCJRrVILg;mar;sunstar;8;14;24180;3022;0;Red Planet;United Earth;Human;0;2023-02-28 00:00:00;;0;100;-497;-814;0/1;web.apewebapps;0;OsLKzO7Xgx;0
LhnbRMd9fp;Rora Mora;Rayit2003;757;0;5091014;6725;0;Red Planet;United Earth;Human;0;2023-01-25 00:00:00;;0;123;186;-260;0/1;steam.windows;0;MkTxfO4hsA;1
LHoRkVDTwz;Empire of shadows;Dhogan06;246653;41;71676201422;290595;1;Red Planet;United Earth;Human;1;2022-06-01 00:00:00;2022-06-09 00:00:00;4;123;-408;-916;0/1;android.gplay;0;earth;0
LhXGrPtx;Cyberkayu;Cyberkayu;1908521;12;213806340279987;112027240;4;Red Planet;United Earth;Human;1;2017-01-15 00:00:00;2017-01-20 00:00:00;4;100;-581;849;0/-1;web.apeappslauncher;0;earth;0
LIbhslOFTP;Confederate States of America;Moegg7776;11143;14;69340358;6223;0;Earthlike;United Earth;Human;1;2021-08-01 00:00:00;2021-10-25 00:00:00;3;121;-852;13;0/0;android.gplay;0;earth;0
lis;Independent State;;925163;27;785321145;849;47;Sugarland;League of Independent States;Human;1;2017-05-11 00:00:00;2017-05-11 00:00:00;2;0;0;0;-1/-2;Unknown;0;earth;0
LitGMPB9uT;Frisbeetown;Mugellooo;22;0;144113;6551;0;Lunar;United Earth;Human;0;2023-03-13 00:00:00;;0;123;-294;390;0/0;ios.appstore;0;PF8pSeD3Xy;0
LK5HnAfYif;Meikarta;psngk19;10853;4;33531855;3090;0;Earthlike;United Earth;Human;1;2023-03-27 00:00:00;2023-03-28 00:00:00;3;123;-492;-926;-1/2;android.gplay;0;PK4fy2nfcg;0
lk7iYyhT;Waffeburst;Ckevine121;266040;2;339896333874;1277614;1;Red Planet;United Earth;Human;1;2021-08-27 00:00:00;2021-08-29 00:00:00;4;123;-833;64;1/0;web.apewebapps;0;earth;0
LKQJolMldd;Ryloth;Notdirtydan;34;75;16440;484;0;Sugarland;Zolarg Empire;Insectoids;0;2023-02-10 00:00:00;;3;100;-745;621;104/-86;ios.appstore;0;zolarg;0
LlJcPNyfPN;Twisted buffalo;Macadeama;71;0;419730;5912;0;Earthlike;United Earth;Human;0;2023-02-27 00:00:00;;3;123;157;305;0/1;android.gplay;0;hbDaYIBG7v;0
lLqat6OCjW;Assyria;Equinox0;30000000;1;612367145558875;20412238;0;Red Planet;United Earth;Human;1;2022-10-03 00:00:00;2022-10-04 00:00:00;4;123;-695;706;0/0;web.apewebapps;0;earth;0
LLtQjLZSo9;Furpublic;SatanicAizinProto;1193;13;2363393;1981;0;Earthlike;United Earth;Human;0;2023-02-26 00:00:00;;3;123;-117;71;1/0;web.apewebapps;0;ZVIJJnS7;0
lMlI3SD75Z;nieland;nieldeng;11;27;39511;3592;0;Water World;United Earth;Human;0;2022-12-21 00:00:00;;3;100;941;982;0/0;ios.appstore;0;NUrdW7SznK;0
lmrPilTg1W;Terraformer;ZetaRho;2755;0;5334292;1936;0;Red Planet;United Earth;Human;0;2023-02-21 00:00:00;;2;123;-29;626;0/0;web.apewebapps;0;NUrdW7SznK;0
LmziRRDUIP;Australia;Muzic;86;0;383927;4464;0;Red Planet;United Earth;Human;0;2023-03-19 00:00:00;;0;123;-409;451;0/1;android.gplay;0;6UZa0s595v;0
LN0VHfXIDu;Zolarg State;MZBuilder;24050;8;3700468763;153866;6;Sugarland;Zolarg Empire;Insectoids;1;2023-01-29 00:00:00;2023-02-04 00:00:00;4;123;801;889;34/-10;desktop.windows;1;nvmPg0xvaf;1
Ln1IHtlrzz;Doofania;SherlocktheKnower;1932;47;2319128;1200;0;Red Planet;United Earth;Human;0;2023-03-02 00:00:00;;1;123;711;971;51/-39;android.gplay;0;G5Syu33cnO;0
lo54Oq1qNC;Tartarus;Kronos1550;3938;6;11158680;2834;0;Earthlike;United Earth;Human;0;2022-11-13 00:00:00;;3;123;428;-734;20/-56;android.gplay;0;WfSzuc54Xw;0
lOcsGEsAA3;Empire of hope;Dhogan06;4;50;583620;145905;0;Earthlike;United Earth;Human;0;2022-06-12 00:00:00;;3;100;-602;-242;0/0;android.gplay;0;earth;1
lojyZYv1ls;Antaris;therealchromedino;196;55;992983;5066;0;Ice World;Zolarg Empire;Insectoids;0;2022-12-13 00:00:00;;0;123;956;-809;104/-85;web.apeappslauncher;0;eoKZHi63;1
LPMvXr3p8a;Map;Stoney;831;0;5390348;6487;0;Red Planet;United Earth;Human;0;2023-01-22 00:00:00;;0;123;518;-888;0/1;android.gplay;0;zmZZGD4dZS;1
LPNhCejF3D;New Ohio;Avalon457;50;6;272752;5455;0;Lunar;United Earth;Human;0;2023-02-01 00:00:00;;0;123;106;370;-1/1;android.gplay;0;hbDaYIBG7v;0
lpR4B4FRmh;Luna land;ninjamaster57;925;81;330784;358;0;Water World;Zolarg Empire;Insectoids;0;2022-11-27 00:00:00;;3;123;-27;-725;104/-86;ios.appstore;0;earth;1
LpRCAMdJV8;Camp post 1;Lordpyro94;212;0;1929995;9104;0;Earthlike;United Earth;Human;0;2022-12-19 00:00:00;;3;123;703;228;0/0;android.gplay;0;nDr63w6YD8;1
Lq3kS6CiBm;My Colony;tinytoads;305;12;735632;2412;0;Red Planet;United Earth;Human;0;2023-03-29 00:00:00;;0;123;778;840;-1/0;web.windowsstore;0;NUrdW7SznK;0
lQfpcHw8X7;Googooga;prancing;497;5;885731;1782;0;Water World;United Earth;Human;0;2023-01-31 00:00:00;;3;123;25;143;-16/-2;steam.mac;0;piVpTTB9;1
LqJ2Eug1eJ;Pepsi Max Cherry TM;wormjon;3176268;7;73571171376409;23162772;0;Abandoned World;League of Independent States;Human;1;2021-08-20 00:00:00;2021-08-20 00:00:00;4;;70;499;47/7;web.windowsstore;0;;1
LQVpXbAHxn;Asteroidium;imhotep19;34489;0;663727616;19245;0;Asteroid;League of Independent States;Human;0;2020-01-15 00:00:00;;4;;-714;-992;26/-80;desktop.windows;0;;0
LQZTwr7PMn;My Colony;balajandro;6782;2;13084859;1929;0;Sugarland;Zolarg Empire;Insectoids;0;2023-02-15 00:00:00;;3;123;969;-776;104/-85;android.gplay;0;eoKZHi63;0
ls3cN3kL1k;Kastanieta;gwynebleid;1045;0;3403485;3257;0;Abandoned World;League of Independent States;Human;0;2022-12-20 00:00:00;;3;117;-135;-224;-1/-2;android.gplay;0;lis;0
